yearid,teamid,game_t,win_t,era_t,teamname,teamOPS,wswin_t,run_t,hit_t,hr_t,bb_t,so_t,runallow_t,earnrun_t,save_t,errors_t
1985,ATL,162,66,4.19,Atlanta Braves,0.678,N,632,1359,126,553,849,781,679,29,159
1985,BAL,161,83,4.38,Baltimore Orioles,0.765,N,818,1451,214,604,908,764,694,33,129
1985,BOS,163,81,4.06,Boston Red Sox,0.776,N,800,1615,162,562,816,720,659,29,145
1985,CAL,162,90,3.91,California Angels,0.719,N,732,1364,153,648,902,703,633,41,112
1985,CHA,163,85,4.07,Chicago White Sox,0.714,N,736,1386,146,471,843,720,656,39,111
1985,CHN,162,77,4.16,Chicago Cubs,0.707,N,686,1397,150,562,937,729,666,42,134
1985,CIN,162,89,3.71,Cincinnati Reds,0.703,N,677,1385,114,576,856,666,598,45,122
1985,CLE,162,60,4.91,Cleveland Indians,0.709,N,729,1465,116,492,817,861,776,28,141
1985,DET,161,84,3.78,Detroit Tigers,0.742,N,729,1413,202,526,926,688,612,40,143
1985,HOU,162,83,3.66,Houston Astros,0.707,N,706,1457,121,477,873,691,593,42,152
1985,KCA,162,91,3.49,Kansas City Royals,0.714,Y,687,1384,154,473,840,639,566,41,127
1985,LAN,162,95,2.96,Los Angeles Dodgers,0.710,N,682,1434,129,539,846,579,482,36,166
1985,MIN,162,77,4.48,Minnesota Twins,0.698,N,705,1453,141,502,779,782,710,34,120
1985,ML4,161,71,4.39,Milwaukee Brewers,0.733,N,690,1467,101,462,746,802,701,37,142
1985,MON,161,84,3.55,Montreal Expos,0.685,N,633,1342,118,492,880,636,574,53,121
1985,NYA,161,97,3.69,New York Yankees,0.708,N,839,1458,176,620,771,660,590,49,126
1985,NYN,162,98,3.11,New York Mets,0.769,N,695,1425,134,546,872,568,514,37,115
1985,OAK,162,77,4.41,Oakland Athletics,0.726,N,757,1475,155,508,861,787,712,41,140
1985,PHI,162,75,3.68,Philadelphia Phillies,0.695,N,667,1343,141,527,1095,673,592,30,139
1985,PIT,161,57,3.97,Pittsburgh Pirates,0.658,N,568,1340,80,514,842,708,638,29,133
1985,SDN,162,83,3.40,San Diego Padres,0.688,N,650,1405,109,513,809,622,549,44,124
1985,SEA,162,74,4.68,Seattle Mariners,0.738,N,719,1410,171,564,942,818,744,30,122
1985,SFN,162,62,3.61,San Francisco Giants,0.648,N,556,1263,115,488,962,674,581,24,148
1985,SLN,162,101,3.10,St. Louis Cardinals,0.714,N,747,1446,87,586,853,572,505,44,108
1985,TEX,161,62,4.56,Texas Rangers,0.703,N,617,1359,129,530,819,785,715,33,120
1985,TOR,161,99,3.31,Toronto Blue Jays,0.757,N,759,1482,158,503,807,588,532,47,125
1986,ATL,161,72,3.97,Atlanta Braves,0.700,N,615,1348,138,538,904,719,629,39,141
1986,BAL,162,73,4.30,Baltimore Orioles,0.722,N,708,1425,169,563,862,760,687,39,135
1986,BOS,161,95,3.93,Boston Red Sox,0.761,N,794,1488,144,595,707,696,625,41,129
1986,CAL,162,92,3.84,California Angels,0.742,N,786,1387,167,671,860,684,621,40,107
1986,CHA,162,72,3.93,Chicago White Sox,0.716,N,644,1335,121,487,940,699,630,38,117
1986,CHN,160,70,4.49,Chicago Cubs,0.673,N,680,1409,155,508,966,781,721,42,124
1986,CIN,162,86,3.91,Cincinnati Reds,0.712,N,732,1404,144,586,920,717,638,45,140
1986,CLE,163,84,4.58,Cleveland Indians,0.767,N,831,1620,157,456,944,841,736,34,157
1986,DET,162,87,4.02,Detroit Tigers,0.762,N,798,1447,198,613,885,714,645,38,108
1986,HOU,162,96,3.15,Houston Astros,0.703,N,654,1388,125,536,916,569,509,51,130
1986,KCA,162,76,3.82,Kansas City Royals,0.703,N,654,1403,137,474,919,673,612,31,123
1986,LAN,162,73,3.76,Los Angeles Dodgers,0.683,N,638,1373,130,478,966,679,608,25,181
1986,MIN,162,71,4.77,Minnesota Twins,0.707,N,741,1446,196,501,977,839,759,24,118
1986,ML4,161,77,4.01,Milwaukee Brewers,0.753,N,667,1393,127,530,986,734,638,32,146
1986,MON,161,78,3.78,Montreal Expos,0.701,N,637,1401,110,537,1016,688,616,50,133
1986,NYA,162,90,4.11,New York Yankees,0.740,N,797,1512,188,645,911,738,659,58,127
1986,NYN,162,108,3.11,New York Mets,0.778,Y,783,1462,148,631,968,578,513,46,138
1986,OAK,162,76,4.31,Oakland Athletics,0.712,N,731,1370,163,553,983,760,686,37,135
1986,PHI,161,86,3.85,Philadelphia Phillies,0.727,N,739,1386,154,589,1154,713,621,39,137
